Minister,Date,Name of Individual or Organisation,Purpose of Meeting
Sir Keir Starmer,2025-03-21,Ultimate Fighting Championship,To discuss the Ultimate Fighting Championships' presence in the UK and future plans
Sir Keir Starmer,2025-03-31,"Jack Thorne, Jo Johnson, Netflix, Into Film, Movember, Beyond Equality, Children's Society, NSPCC, Warp Films","Roundtable to discuss issues covered in the Netflix series ""Adolescence"" including online harms, misogyny, and the importance of positive male role models"
Sir Keir Starmer,2025-03-31,General Catalyst,To discuss public-private partnership opportunities in the UK
Sir Keir Starmer,2025-03-31,"Reach PLC, Newsquest Media Group",To discuss the challenges facing local and regional media
Sir Keir Starmer,2025-04-02,"Sir Gareth Southgate, Leaders in Sport",To discuss how to tackle issues facing young men
Sir Keir Starmer,2025-04-02,"AstraZeneca, GSK, Moderna, Eli Lilly, Johnson & Johnson, Roche Group, Novartis, MSD, Bristol-Myers Squibb, Amgen, Healthcare at Merck, Incyte, Gilead Sciences, Biogen, TEVA, Chiesi, Menarini, Almirall, Servier, IPSEN, Bayer, UCB, Lundbeck, Boehringer Ingelheim, Eisai, Chugai, Shinogi, Mitsubishi, Takeda Pharmaceutical Co, MHRA, NICE, NHSE, Wellcome Trust, University of Manchester",Biopharmaceuticals CEOs Roundtable to discuss global health challenges and life sciences policy
Sir Keir Starmer,2025-04-03,"GSK, Unilever, BAE Systems, Shell, Airbus, Diageo, AB Foods, Johnson Matthey, Google, Bentley, Deloitte, Rigby Group, National Grid Ventures, Jaguar Land Rover, London Stock Exchange Group, Barclays Corporate Bank, AstraZeneca",Business roundtable to discuss UK-US trade talks with British businesses
Sir Keir Starmer,2025-04-03,Figen Murray OBE,To mark the royal assent of Martyn's Law - the Terrorism (Protection of Premises) Act 2025
Sir Keir Starmer,2025-04-07,Jaguar Land Rover,During visit to discuss the US trade talks
Sir Keir Starmer,2025-04-09,"Comcast, Universal Destinations and Experiences",During visit to discuss investment by Comcast to build a major theme park and resort in Bedford
